,Name,Gender,letters,name_length,gen_code,encoded_names
624,<SOS>newt<EOS>       ,boy,"['n', 'e', 'w', 't']",4,1.0,"[1, 16, 7, 25, 22, 2, 0, 0, 0, 0, 0, 0, 0]"
1134,<SOS>jared<EOS>      ,boy,"['j', 'a', 'r', 'e', 'd']",5,1.0,"[1, 12, 3, 20, 7, 6, 2, 0, 0, 0, 0, 0, 0]"
5145,<SOS>shelva<EOS>     ,girl,"['s', 'h', 'e', 'l', 'v', 'a']",6,0.0,"[1, 21, 10, 7, 14, 24, 3, 2, 0, 0, 0, 0, 0]"
5234,<SOS>judyth<EOS>     ,girl,"['j', 'u', 'd', 'y', 't', 'h']",6,0.0,"[1, 12, 23, 6, 27, 22, 10, 2, 0, 0, 0, 0, 0]"
267,<SOS>isaiah<EOS>     ,boy,"['i', 's', 'a', 'i', 'a', 'h']",6,1.0,"[1, 11, 21, 3, 11, 3, 10, 2, 0, 0, 0, 0, 0]"
6755,<SOS>mareli<EOS>     ,girl,"['m', 'a', 'r', 'e', 'l', 'i']",6,0.0,"[1, 15, 3, 20, 7, 14, 11, 2, 0, 0, 0, 0, 0]"
351,<SOS>hugo<EOS>       ,boy,"['h', 'u', 'g', 'o']",4,1.0,"[1, 10, 23, 9, 17, 2, 0, 0, 0, 0, 0, 0, 0]"
2444,<SOS>bret<EOS>       ,boy,"['b', 'r', 'e', 't']",4,1.0,"[1, 4, 20, 7, 22, 2, 0, 0, 0, 0, 0, 0, 0]"
2790,<SOS>jaron<EOS>      ,boy,"['j', 'a', 'r', 'o', 'n']",5,1.0,"[1, 12, 3, 20, 17, 16, 2, 0, 0, 0, 0, 0, 0]"
1629,<SOS>johny<EOS>      ,boy,"['j', 'o', 'h', 'n', 'y']",5,1.0,"[1, 12, 17, 10, 16, 27, 2, 0, 0, 0, 0, 0, 0]"
3074,<SOS>darrian<EOS>    ,boy,"['d', 'a', 'r', 'r', 'i', 'a', 'n']",7,1.0,"[1, 6, 3, 20, 20, 11, 3, 16, 2, 0, 0, 0, 0]"
329,<SOS>granville<EOS>  ,boy,"['g', 'r', 'a', 'n', 'v', 'i', 'l', 'l', 'e']",9,1.0,"[1, 9, 20, 3, 16, 24, 11, 14, 14, 7, 2, 0, 0]"
4205,<SOS>crete<EOS>      ,girl,"['c', 'r', 'e', 't', 'e']",5,0.0,"[1, 5, 20, 7, 22, 7, 2, 0, 0, 0, 0, 0, 0]"
2871,<SOS>skylar<EOS>     ,boy,"['s', 'k', 'y', 'l', 'a', 'r']",6,1.0,"[1, 21, 13, 27, 14, 3, 20, 2, 0, 0, 0, 0, 0]"
316,<SOS>ulysses<EOS>    ,boy,"['u', 'l', 'y', 's', 's', 'e', 's']",7,1.0,"[1, 23, 14, 27, 21, 21, 7, 21, 2, 0, 0, 0, 0]"
4435,<SOS>francisqui<EOS> ,girl,"['f', 'r', 'a', 'n', 'c', 'i', 's', 'q', 'u', 'i']",10,0.0,"[1, 8, 20, 3, 16, 5, 11, 21, 19, 23, 11, 2, 0]"
812,<SOS>alpha<EOS>      ,boy,"['a', 'l', 'p', 'h', 'a']",5,1.0,"[1, 3, 14, 18, 10, 3, 2, 0, 0, 0, 0, 0, 0]"
4021,<SOS>venie<EOS>      ,girl,"['v', 'e', 'n', 'i', 'e']",5,0.0,"[1, 24, 7, 16, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
2775,<SOS>jamaal<EOS>     ,boy,"['j', 'a', 'm', 'a', 'a', 'l']",6,1.0,"[1, 12, 3, 15, 3, 3, 14, 2, 0, 0, 0, 0, 0]"
5567,<SOS>deeann<EOS>     ,girl,"['d', 'e', 'e', 'a', 'n', 'n']",6,0.0,"[1, 6, 7, 7, 3, 16, 16, 2, 0, 0, 0, 0, 0]"
2117,<SOS>nello<EOS>      ,boy,"['n', 'e', 'l', 'l', 'o']",5,1.0,"[1, 16, 7, 14, 14, 17, 2, 0, 0, 0, 0, 0, 0]"
3873,<SOS>lavenia<EOS>    ,girl,"['l', 'a', 'v', 'e', 'n', 'i', 'a']",7,0.0,"[1, 14, 3, 24, 7, 16, 11, 3, 2, 0, 0, 0, 0]"
2471,<SOS>mitch<EOS>      ,boy,"['m', 'i', 't', 'c', 'h']",5,1.0,"[1, 15, 11, 22, 5, 10, 2, 0, 0, 0, 0, 0, 0]"
